network,payoff,strategy,mean_barC,std_barC,Pr_allC,Pr_allD,mean_time_to_absorption,n_runs
SBM_2block_mild,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_strong,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.01,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.1,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.5,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
BA_m4,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,52.8,10
ER_p0.015,Prisoners,Fermi(K=0.5),0.0017499999999999849,0.0026483747636784362,0.0,0.6,43.5,10
ER_p0.02,Prisoners,Fermi(K=0.5),0.0002499999999999947,0.0007905694150420779,0.0,0.9,84.66666666666667,10
Grid_20x20,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,44.1,10
SBM_2block_mild,Prisoners,Fermi(K=0.5),0.0004999999999999894,0.0010540925533894375,0.0,0.8,59.375,10
SBM_2block_strong,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,94.1,10
WS_k8_p0.01,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,62.3,10
WS_k8_p0.1,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,64.2,10
WS_k8_p0.5,Prisoners,Fermi(K=0.5),0.0,0.0,0.0,1.0,74.0,10
BA_m4,Prisoners,ImitationStrategy,0.0001666666666666668,0.0005270462766947304,0.0,0.9,11.0,10
ER_p0.015,Prisoners,ImitationStrategy,0.0017499999999999849,0.0026483747636784362,0.0,0.6,12.0,10
ER_p0.02,Prisoners,ImitationStrategy,0.00041666666666666144,0.000900102874778856,0.0,0.8,11.125,10
Grid_20x20,Prisoners,ImitationStrategy,0.0037500000000000033,0.0037525711350295298,0.0,0.4,12.0,10
SBM_2block_mild,Prisoners,ImitationStrategy,0.0004999999999999894,0.0010540925533894375,0.0,0.8,11.375,10
SBM_2block_strong,Prisoners,ImitationStrategy,0.0,0.0,0.0,1.0,11.4,10
WS_k8_p0.01,Prisoners,ImitationStrategy,0.0062083333333333365,0.004358766177783873,0.0,0.1,14.0,10
WS_k8_p0.1,Prisoners,ImitationStrategy,0.0007499999999999987,0.0016873713942763813,0.0,0.8,13.75,10
WS_k8_p0.5,Prisoners,ImitationStrategy,0.0,0.0,0.0,1.0,11.1,10
BA_m4,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05057583333333334,0.00142643933157589,0.0,0.0,,10
ER_p0.015,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05296166666666667,0.000988874843845327,0.0,0.0,,10
ER_p0.02,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.052739166666666684,0.002416232559988919,0.0,0.0,,10
Grid_20x20,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05007583333333334,0.0006237388510594683,0.0,0.0,,10
SBM_2block_mild,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05133333333333334,0.0013809718799936994,0.0,0.0,,10
SBM_2block_strong,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.050917500000000004,0.0013671772420250088,0.0,0.0,,10
WS_k8_p0.01,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05012750000000001,0.0007307408932627333,0.0,0.0,,10
WS_k8_p0.1,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.050135000000000006,0.000607181812216425,0.0,0.0,,10
WS_k8_p0.5,Prisoners,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.05020833333333334,0.0008191195212686956,0.0,0.0,,10
BA_m4,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.015,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.02,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
Grid_20x20,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_mild,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_strong,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.01,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.1,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.5,Snowdrift,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
BA_m4,Snowdrift,Fermi(K=0.5),0.4012908333333334,0.03552037396792137,0.0,0.0,,10
ER_p0.015,Snowdrift,Fermi(K=0.5),0.41287416666666676,0.029570104358274764,0.0,0.0,,10
